SkillRecordID,LocalStudentID,ContentArea,SkillName,EvidenceSource,PercentMastery,SkillStatus,RecommendedGroup
SK0000,S10000,ELA,Main idea and author purpose,SAT/TSIA/STAAR,45,Gap,Small group
SK0001,S10000,Math,Linear equations,SAT/TSIA/STAAR,58,Gap,Small group
SK0010,S10001,ELA,Inference and evidence,SAT/TSIA/STAAR,52,Gap,Small group
SK0011,S10001,Math,Systems of equations,SAT/TSIA/STAAR,65,Gap,Small group
SK0020,S10002,ELA,Vocabulary in context,SAT/TSIA/STAAR,59,Gap,Small group
SK0021,S10002,Math,Functions,SAT/TSIA/STAAR,72,Gap,Extension
SK0030,S10003,ELA,Paired passage analysis,SAT/TSIA/STAAR,66,Gap,Small group
SK0031,S10003,Math,Geometry and measurement,SAT/TSIA/STAAR,79,Strength,Extension
SK0040,S10004,ELA,Revision and organization,SAT/TSIA/STAAR,73,Gap,Extension
SK0041,S10004,Math,Data analysis,SAT/TSIA/STAAR,86,Strength,Extension
SK0050,S10005,ELA,Editing and conventions,SAT/TSIA/STAAR,80,Strength,Extension
SK0051,S10005,Math,Probability/statistics,SAT/TSIA/STAAR,93,Strength,Extension
SK0060,S10006,ELA,Sentence structure,SAT/TSIA/STAAR,87,Strength,Extension
SK0061,S10006,Math,Quadratics,SAT/TSIA/STAAR,45,Gap,Small group
SK0070,S10007,ELA,Development of ideas,SAT/TSIA/STAAR,94,Strength,Extension
SK0071,S10007,Math,Algebraic expressions,SAT/TSIA/STAAR,52,Gap,Small group
SK0080,S10008,ELA,Written composition,SAT/TSIA/STAAR,46,Gap,Small group
SK0081,S10008,Math,Ratios and proportional reasoning,SAT/TSIA/STAAR,59,Gap,Small group
SK0090,S10009,ELA,Argument analysis,SAT/TSIA/STAAR,53,Gap,Small group
SK0091,S10009,Math,Multi-step problem solving,SAT/TSIA/STAAR,66,Gap,Small group
SK0100,S10010,ELA,Short constructed response,SAT/TSIA/STAAR,60,Gap,Small group
SK0101,S10010,Math,TSIA quantitative reasoning,SAT/TSIA/STAAR,73,Gap,Extension
SK0110,S10011,ELA,Main idea and author purpose,SAT/TSIA/STAAR,67,Gap,Small group
SK0111,S10011,Math,SAT problem solving and data analysis,SAT/TSIA/STAAR,80,Strength,Extension
SK0120,S10012,ELA,Inference and evidence,SAT/TSIA/STAAR,74,Gap,Extension
SK0121,S10012,Math,Linear equations,SAT/TSIA/STAAR,87,Strength,Extension
SK0130,S10013,ELA,Vocabulary in context,SAT/TSIA/STAAR,81,Strength,Extension
SK0131,S10013,Math,Systems of equations,SAT/TSIA/STAAR,94,Strength,Extension
SK0140,S10014,ELA,Paired passage analysis,SAT/TSIA/STAAR,88,Strength,Extension
SK0141,S10014,Math,Functions,SAT/TSIA/STAAR,46,Gap,Small group
SK0150,S10015,ELA,Revision and organization,SAT/TSIA/STAAR,95,Strength,Extension
SK0151,S10015,Math,Geometry and measurement,SAT/TSIA/STAAR,53,Gap,Small group
SK0160,S10016,ELA,Editing and conventions,SAT/TSIA/STAAR,47,Gap,Small group
SK0161,S10016,Math,Data analysis,SAT/TSIA/STAAR,60,Gap,Small group
SK0170,S10017,ELA,Sentence structure,SAT/TSIA/STAAR,54,Gap,Small group
SK0171,S10017,Math,Probability/statistics,SAT/TSIA/STAAR,67,Gap,Small group
SK0180,S10018,ELA,Development of ideas,SAT/TSIA/STAAR,61,Gap,Small group
SK0181,S10018,Math,Quadratics,SAT/TSIA/STAAR,74,Gap,Extension
SK0190,S10019,ELA,Written composition,SAT/TSIA/STAAR,68,Gap,Small group
SK0191,S10019,Math,Algebraic expressions,SAT/TSIA/STAAR,81,Strength,Extension
SK0200,S10020,ELA,Argument analysis,SAT/TSIA/STAAR,75,Strength,Extension
SK0201,S10020,Math,Ratios and proportional reasoning,SAT/TSIA/STAAR,88,Strength,Extension
SK0210,S10021,ELA,Short constructed response,SAT/TSIA/STAAR,82,Strength,Extension
SK0211,S10021,Math,Multi-step problem solving,SAT/TSIA/STAAR,95,Strength,Extension
SK0220,S10022,ELA,Main idea and author purpose,SAT/TSIA/STAAR,89,Strength,Extension
SK0221,S10022,Math,TSIA quantitative reasoning,SAT/TSIA/STAAR,47,Gap,Small group
SK0230,S10023,ELA,Inference and evidence,SAT/TSIA/STAAR,96,Strength,Extension
SK0231,S10023,Math,SAT problem solving and data analysis,SAT/TSIA/STAAR,54,Gap,Small group
SK0240,S10024,ELA,Vocabulary in context,SAT/TSIA/STAAR,48,Gap,Small group
SK0241,S10024,Math,Linear equations,SAT/TSIA/STAAR,61,Gap,Small group
SK0250,S10025,ELA,Paired passage analysis,SAT/TSIA/STAAR,55,Gap,Small group
SK0251,S10025,Math,Systems of equations,SAT/TSIA/STAAR,68,Gap,Small group
SK0260,S10026,ELA,Revision and organization,SAT/TSIA/STAAR,62,Gap,Small group
SK0261,S10026,Math,Functions,SAT/TSIA/STAAR,75,Strength,Extension
SK0270,S10027,ELA,Editing and conventions,SAT/TSIA/STAAR,69,Gap,Small group
SK0271,S10027,Math,Geometry and measurement,SAT/TSIA/STAAR,82,Strength,Extension
SK0280,S10028,ELA,Sentence structure,SAT/TSIA/STAAR,76,Strength,Extension
SK0281,S10028,Math,Data analysis,SAT/TSIA/STAAR,89,Strength,Extension
SK0290,S10029,ELA,Development of ideas,SAT/TSIA/STAAR,83,Strength,Extension
SK0291,S10029,Math,Probability/statistics,SAT/TSIA/STAAR,96,Strength,Extension
SK0300,S10030,ELA,Written composition,SAT/TSIA/STAAR,90,Strength,Extension
SK0301,S10030,Math,Quadratics,SAT/TSIA/STAAR,48,Gap,Small group
SK0310,S10031,ELA,Argument analysis,SAT/TSIA/STAAR,97,Strength,Extension
SK0311,S10031,Math,Algebraic expressions,SAT/TSIA/STAAR,55,Gap,Small group
