RequestID,LocalStudentID,CourseCode,CourseName,SubjectArea,RequestedYear,RequestStatus
RQ000,S10000,GEOM,Geometry,Math,2026-2027,Recommended
RQ001,S10001,BIO,Biology,Science,2026-2027,Requested
RQ002,S10002,BUS1,Principles of Business,CTE,2026-2027,Recommended
RQ003,S10003,HLTH1,Principles of Health Science,CTE,2026-2027,Requested
RQ004,S10004,IT1,Principles of IT,CTE,2026-2027,Recommended
RQ005,S10005,EDU1,Principles of Education,CTE,2026-2027,Requested
RQ006,S10006,MFG1,Principles of Manufacturing,CTE,2026-2027,Recommended
RQ007,S10007,ENG1,English I,ELA,2026-2027,Requested
RQ008,S10008,ENG2,English II,ELA,2026-2027,Recommended
RQ009,S10009,ALG1,Algebra I,Math,2026-2027,Requested
RQ010,S10010,GEOM,Geometry,Math,2026-2027,Recommended
RQ011,S10011,BIO,Biology,Science,2026-2027,Requested
RQ012,S10012,BUS1,Principles of Business,CTE,2026-2027,Recommended
RQ013,S10013,HLTH1,Principles of Health Science,CTE,2026-2027,Requested
RQ014,S10014,IT1,Principles of IT,CTE,2026-2027,Recommended
RQ015,S10015,EDU1,Principles of Education,CTE,2026-2027,Requested
RQ016,S10016,MFG1,Principles of Manufacturing,CTE,2026-2027,Recommended
RQ017,S10017,ENG1,English I,ELA,2026-2027,Requested
RQ018,S10018,ENG2,English II,ELA,2026-2027,Recommended
RQ019,S10019,ALG1,Algebra I,Math,2026-2027,Requested
RQ020,S10020,GEOM,Geometry,Math,2026-2027,Recommended
RQ021,S10021,BIO,Biology,Science,2026-2027,Requested
RQ022,S10022,BUS1,Principles of Business,CTE,2026-2027,Recommended
RQ023,S10023,HLTH1,Principles of Health Science,CTE,2026-2027,Requested
RQ024,S10024,IT1,Principles of IT,CTE,2026-2027,Recommended
RQ025,S10025,EDU1,Principles of Education,CTE,2026-2027,Requested
RQ026,S10026,MFG1,Principles of Manufacturing,CTE,2026-2027,Recommended
RQ027,S10027,ENG1,English I,ELA,2026-2027,Requested
RQ028,S10028,ENG2,English II,ELA,2026-2027,Recommended
RQ029,S10029,ALG1,Algebra I,Math,2026-2027,Requested
RQ030,S10030,GEOM,Geometry,Math,2026-2027,Recommended
RQ031,S10031,BIO,Biology,Science,2026-2027,Requested
RQ032,S10032,BUS1,Principles of Business,CTE,2026-2027,Recommended
RQ033,S10033,HLTH1,Principles of Health Science,CTE,2026-2027,Requested
RQ034,S10034,IT1,Principles of IT,CTE,2026-2027,Recommended
RQ035,S10035,EDU1,Principles of Education,CTE,2026-2027,Requested
RQ036,S10036,MFG1,Principles of Manufacturing,CTE,2026-2027,Recommended
RQ037,S10037,ENG1,English I,ELA,2026-2027,Requested
RQ038,S10038,ENG2,English II,ELA,2026-2027,Recommended
RQ039,S10039,ALG1,Algebra I,Math,2026-2027,Requested
RQ040,S10040,GEOM,Geometry,Math,2026-2027,Recommended
RQ041,S10041,BIO,Biology,Science,2026-2027,Requested
RQ042,S10042,BUS1,Principles of Business,CTE,2026-2027,Recommended
RQ043,S10043,HLTH1,Principles of Health Science,CTE,2026-2027,Requested
RQ044,S10044,IT1,Principles of IT,CTE,2026-2027,Recommended
RQ045,S10045,EDU1,Principles of Education,CTE,2026-2027,Requested
RQ046,S10046,MFG1,Principles of Manufacturing,CTE,2026-2027,Recommended
RQ047,S10047,ENG1,English I,ELA,2026-2027,Requested
RQ048,S10048,ENG2,English II,ELA,2026-2027,Recommended
RQ049,S10049,ALG1,Algebra I,Math,2026-2027,Requested
RQ050,S10050,GEOM,Geometry,Math,2026-2027,Recommended
RQ051,S10051,BIO,Biology,Science,2026-2027,Requested
RQ052,S10052,BUS1,Principles of Business,CTE,2026-2027,Recommended
RQ053,S10053,HLTH1,Principles of Health Science,CTE,2026-2027,Requested
RQ054,S10054,IT1,Principles of IT,CTE,2026-2027,Recommended
RQ055,S10055,EDU1,Principles of Education,CTE,2026-2027,Requested
RQ056,S10056,MFG1,Principles of Manufacturing,CTE,2026-2027,Recommended
RQ057,S10057,ENG1,English I,ELA,2026-2027,Requested
RQ058,S10058,ENG2,English II,ELA,2026-2027,Recommended
