CTEProgressID,LocalStudentID,ProgramOfStudyID,HighestLevelCompleted,Concentrator,Completer,NextRecommendedCTECourse
CTE000,S10000,POS1,1,Yes,Yes,Next CTE Level 1
CTE001,S10001,POS2,2,No,No,Next CTE Level 2
CTE002,S10002,POS3,3,No,No,Next CTE Level 3
CTE003,S10003,POS4,4,Yes,No,Next CTE Level 4
CTE004,S10004,POS5,1,No,No,Next CTE Level 1
CTE005,S10005,POS1,2,No,Yes,Next CTE Level 2
CTE006,S10006,POS2,3,Yes,No,Next CTE Level 3
CTE007,S10007,POS3,4,No,No,Next CTE Level 4
CTE008,S10008,POS4,1,No,No,Next CTE Level 1
CTE009,S10009,POS5,2,Yes,No,Next CTE Level 2
CTE010,S10010,POS1,3,No,Yes,Next CTE Level 3
CTE011,S10011,POS2,4,No,No,Next CTE Level 4
CTE012,S10012,POS3,1,Yes,No,Next CTE Level 1
CTE013,S10013,POS4,2,No,No,Next CTE Level 2
CTE014,S10014,POS5,3,No,No,Next CTE Level 3
CTE015,S10015,POS1,4,Yes,Yes,Next CTE Level 4
CTE016,S10016,POS2,1,No,No,Next CTE Level 1
CTE017,S10017,POS3,2,No,No,Next CTE Level 2
CTE018,S10018,POS4,3,Yes,No,Next CTE Level 3
CTE019,S10019,POS5,4,No,No,Next CTE Level 4
CTE020,S10020,POS1,1,No,Yes,Next CTE Level 1
CTE021,S10021,POS2,2,Yes,No,Next CTE Level 2
CTE022,S10022,POS3,3,No,No,Next CTE Level 3
CTE023,S10023,POS4,4,No,No,Next CTE Level 4
CTE024,S10024,POS5,1,Yes,No,Next CTE Level 1
CTE025,S10025,POS1,2,No,Yes,Next CTE Level 2
CTE026,S10026,POS2,3,No,No,Next CTE Level 3
CTE027,S10027,POS3,4,Yes,No,Next CTE Level 4
CTE028,S10028,POS4,1,No,No,Next CTE Level 1
CTE029,S10029,POS5,2,No,No,Next CTE Level 2
CTE030,S10030,POS1,3,Yes,Yes,Next CTE Level 3
CTE031,S10031,POS2,4,No,No,Next CTE Level 4
CTE032,S10032,POS3,1,No,No,Next CTE Level 1
CTE033,S10033,POS4,2,Yes,No,Next CTE Level 2
CTE034,S10034,POS5,3,No,No,Next CTE Level 3
CTE035,S10035,POS1,4,No,Yes,Next CTE Level 4
CTE036,S10036,POS2,1,Yes,No,Next CTE Level 1
CTE037,S10037,POS3,2,No,No,Next CTE Level 2
CTE038,S10038,POS4,3,No,No,Next CTE Level 3
CTE039,S10039,POS5,4,Yes,No,Next CTE Level 4
CTE040,S10040,POS1,1,No,Yes,Next CTE Level 1
CTE041,S10041,POS2,2,No,No,Next CTE Level 2
CTE042,S10042,POS3,3,Yes,No,Next CTE Level 3
CTE043,S10043,POS4,4,No,No,Next CTE Level 4
CTE044,S10044,POS5,1,No,No,Next CTE Level 1
CTE045,S10045,POS1,2,Yes,Yes,Next CTE Level 2
CTE046,S10046,POS2,3,No,No,Next CTE Level 3
CTE047,S10047,POS3,4,No,No,Next CTE Level 4
CTE048,S10048,POS4,1,Yes,No,Next CTE Level 1
CTE049,S10049,POS5,2,No,No,Next CTE Level 2
CTE050,S10050,POS1,3,No,Yes,Next CTE Level 3
CTE051,S10051,POS2,4,Yes,No,Next CTE Level 4
CTE052,S10052,POS3,1,No,No,Next CTE Level 1
CTE053,S10053,POS4,2,No,No,Next CTE Level 2
CTE054,S10054,POS5,3,Yes,No,Next CTE Level 3
CTE055,S10055,POS1,4,No,Yes,Next CTE Level 4
CTE056,S10056,POS2,1,No,No,Next CTE Level 1
CTE057,S10057,POS3,2,Yes,No,Next CTE Level 2
CTE058,S10058,POS4,3,No,No,Next CTE Level 3
CTE059,S10059,POS5,4,No,No,Next CTE Level 4
