AttendanceID,LocalStudentID,SchoolYear,DaysEnrolled,DaysAbsent,AttendanceRate,AttendanceConcern
AT000,S10000,2025-2026,180,0,1.0,OK
AT001,S10001,2025-2026,179,1,0.994,OK
AT002,S10002,2025-2026,178,2,0.989,OK
AT003,S10003,2025-2026,177,3,0.983,OK
AT004,S10004,2025-2026,176,4,0.978,OK
AT005,S10005,2025-2026,175,5,0.972,OK
AT006,S10006,2025-2026,174,6,0.967,OK
AT007,S10007,2025-2026,173,7,0.961,OK
AT008,S10008,2025-2026,172,8,0.956,OK
AT009,S10009,2025-2026,171,9,0.95,OK
AT010,S10010,2025-2026,170,10,0.944,OK
AT011,S10011,2025-2026,169,11,0.939,OK
AT012,S10012,2025-2026,168,12,0.933,OK
AT013,S10013,2025-2026,167,13,0.928,OK
AT014,S10014,2025-2026,166,14,0.922,OK
AT015,S10015,2025-2026,165,15,0.917,OK
AT016,S10016,2025-2026,164,16,0.911,Concern
AT017,S10017,2025-2026,163,17,0.906,Concern
AT018,S10018,2025-2026,162,18,0.9,Concern
AT019,S10019,2025-2026,161,19,0.894,Concern
AT020,S10020,2025-2026,160,20,0.889,Concern
AT021,S10021,2025-2026,159,21,0.883,Concern
AT022,S10022,2025-2026,158,22,0.878,Concern
AT023,S10023,2025-2026,157,23,0.872,Concern
AT024,S10024,2025-2026,156,24,0.867,Concern
AT025,S10025,2025-2026,180,0,1.0,OK
AT026,S10026,2025-2026,179,1,0.994,OK
AT027,S10027,2025-2026,178,2,0.989,OK
AT028,S10028,2025-2026,177,3,0.983,OK
AT029,S10029,2025-2026,176,4,0.978,OK
AT030,S10030,2025-2026,175,5,0.972,OK
AT031,S10031,2025-2026,174,6,0.967,OK
AT032,S10032,2025-2026,173,7,0.961,OK
AT033,S10033,2025-2026,172,8,0.956,OK
AT034,S10034,2025-2026,171,9,0.95,OK
AT035,S10035,2025-2026,170,10,0.944,OK
AT036,S10036,2025-2026,169,11,0.939,OK
AT037,S10037,2025-2026,168,12,0.933,OK
AT038,S10038,2025-2026,167,13,0.928,OK
AT039,S10039,2025-2026,166,14,0.922,OK
AT040,S10040,2025-2026,165,15,0.917,OK
AT041,S10041,2025-2026,164,16,0.911,Concern
AT042,S10042,2025-2026,163,17,0.906,Concern
AT043,S10043,2025-2026,162,18,0.9,Concern
AT044,S10044,2025-2026,161,19,0.894,Concern
AT045,S10045,2025-2026,160,20,0.889,Concern
AT046,S10046,2025-2026,159,21,0.883,Concern
AT047,S10047,2025-2026,158,22,0.878,Concern
AT048,S10048,2025-2026,157,23,0.872,Concern
AT049,S10049,2025-2026,156,24,0.867,Concern
AT050,S10050,2025-2026,180,0,1.0,OK
AT051,S10051,2025-2026,179,1,0.994,OK
AT052,S10052,2025-2026,178,2,0.989,OK
AT053,S10053,2025-2026,177,3,0.983,OK
AT054,S10054,2025-2026,176,4,0.978,OK
AT055,S10055,2025-2026,175,5,0.972,OK
AT056,S10056,2025-2026,174,6,0.967,OK
AT057,S10057,2025-2026,173,7,0.961,OK
AT058,S10058,2025-2026,172,8,0.956,OK
AT059,S10059,2025-2026,171,9,0.95,OK
AT060,S10060,2025-2026,170,10,0.944,OK
AT061,S10061,2025-2026,169,11,0.939,OK
AT062,S10062,2025-2026,168,12,0.933,OK
AT063,S10063,2025-2026,167,13,0.928,OK
AT064,S10064,2025-2026,166,14,0.922,OK
AT065,S10065,2025-2026,165,15,0.917,OK
AT066,S10066,2025-2026,164,16,0.911,Concern
AT067,S10067,2025-2026,163,17,0.906,Concern
AT068,S10068,2025-2026,162,18,0.9,Concern
AT069,S10069,2025-2026,161,19,0.894,Concern
AT070,S10070,2025-2026,160,20,0.889,Concern
AT071,S10071,2025-2026,159,21,0.883,Concern
AT072,S10072,2025-2026,158,22,0.878,Concern
AT073,S10073,2025-2026,157,23,0.872,Concern
AT074,S10074,2025-2026,156,24,0.867,Concern
AT075,S10075,2025-2026,180,0,1.0,OK
AT076,S10076,2025-2026,179,1,0.994,OK
AT077,S10077,2025-2026,178,2,0.989,OK
AT078,S10078,2025-2026,177,3,0.983,OK
AT079,S10079,2025-2026,176,4,0.978,OK
AT080,S10080,2025-2026,175,5,0.972,OK
AT081,S10081,2025-2026,174,6,0.967,OK
AT082,S10082,2025-2026,173,7,0.961,OK
AT083,S10083,2025-2026,172,8,0.956,OK
AT084,S10084,2025-2026,171,9,0.95,OK
AT085,S10085,2025-2026,170,10,0.944,OK
AT086,S10086,2025-2026,169,11,0.939,OK
AT087,S10087,2025-2026,168,12,0.933,OK
AT088,S10088,2025-2026,167,13,0.928,OK
AT089,S10089,2025-2026,166,14,0.922,OK
AT090,S10090,2025-2026,165,15,0.917,OK
AT091,S10091,2025-2026,164,16,0.911,Concern
AT092,S10092,2025-2026,163,17,0.906,Concern
AT093,S10093,2025-2026,162,18,0.9,Concern
AT094,S10094,2025-2026,161,19,0.894,Concern
AT095,S10095,2025-2026,160,20,0.889,Concern
AT096,S10096,2025-2026,159,21,0.883,Concern
AT097,S10097,2025-2026,158,22,0.878,Concern
AT098,S10098,2025-2026,157,23,0.872,Concern
AT099,S10099,2025-2026,156,24,0.867,Concern
