ScheduleID,LocalStudentID,CourseCode,CourseName,SubjectArea,SchoolYear,Term,TeacherID
CS000,S10000,ENG1,English I,ELA,2025-2026,S1,T200
CS001,S10001,ENG2,English II,ELA,2025-2026,S1,T201
CS002,S10002,ALG1,Algebra I,Math,2025-2026,S1,T202
CS003,S10003,GEOM,Geometry,Math,2025-2026,S1,T203
CS004,S10004,BIO,Biology,Science,2025-2026,S1,T204
CS005,S10005,BUS1,Principles of Business,CTE,2025-2026,S1,T205
CS006,S10006,HLTH1,Principles of Health Science,CTE,2025-2026,S1,T206
CS007,S10007,IT1,Principles of IT,CTE,2025-2026,S1,T207
CS008,S10008,EDU1,Principles of Education,CTE,2025-2026,S1,T208
CS009,S10009,MFG1,Principles of Manufacturing,CTE,2025-2026,S1,T209
CS010,S10010,ENG1,English I,ELA,2025-2026,S1,T210
CS011,S10011,ENG2,English II,ELA,2025-2026,S1,T211
CS012,S10012,ALG1,Algebra I,Math,2025-2026,S1,T200
CS013,S10013,GEOM,Geometry,Math,2025-2026,S1,T201
CS014,S10014,BIO,Biology,Science,2025-2026,S1,T202
CS015,S10015,BUS1,Principles of Business,CTE,2025-2026,S1,T203
CS016,S10016,HLTH1,Principles of Health Science,CTE,2025-2026,S1,T204
CS017,S10017,IT1,Principles of IT,CTE,2025-2026,S1,T205
CS018,S10018,EDU1,Principles of Education,CTE,2025-2026,S1,T206
CS019,S10019,MFG1,Principles of Manufacturing,CTE,2025-2026,S1,T207
CS020,S10020,ENG1,English I,ELA,2025-2026,S1,T208
CS021,S10021,ENG2,English II,ELA,2025-2026,S1,T209
CS022,S10022,ALG1,Algebra I,Math,2025-2026,S1,T210
CS023,S10023,GEOM,Geometry,Math,2025-2026,S1,T211
CS024,S10024,BIO,Biology,Science,2025-2026,S1,T200
CS025,S10025,BUS1,Principles of Business,CTE,2025-2026,S1,T201
CS026,S10026,HLTH1,Principles of Health Science,CTE,2025-2026,S1,T202
CS027,S10027,IT1,Principles of IT,CTE,2025-2026,S1,T203
CS028,S10028,EDU1,Principles of Education,CTE,2025-2026,S1,T204
CS029,S10029,MFG1,Principles of Manufacturing,CTE,2025-2026,S1,T205
CS030,S10030,ENG1,English I,ELA,2025-2026,S1,T206
CS031,S10031,ENG2,English II,ELA,2025-2026,S1,T207
CS032,S10032,ALG1,Algebra I,Math,2025-2026,S1,T208
CS033,S10033,GEOM,Geometry,Math,2025-2026,S1,T209
CS034,S10034,BIO,Biology,Science,2025-2026,S1,T210
CS035,S10035,BUS1,Principles of Business,CTE,2025-2026,S1,T211
CS036,S10036,HLTH1,Principles of Health Science,CTE,2025-2026,S1,T200
CS037,S10037,IT1,Principles of IT,CTE,2025-2026,S1,T201
CS038,S10038,EDU1,Principles of Education,CTE,2025-2026,S1,T202
CS039,S10039,MFG1,Principles of Manufacturing,CTE,2025-2026,S1,T203
CS040,S10040,ENG1,English I,ELA,2025-2026,S1,T204
CS041,S10041,ENG2,English II,ELA,2025-2026,S1,T205
CS042,S10042,ALG1,Algebra I,Math,2025-2026,S1,T206
CS043,S10043,GEOM,Geometry,Math,2025-2026,S1,T207
CS044,S10044,BIO,Biology,Science,2025-2026,S1,T208
CS045,S10045,BUS1,Principles of Business,CTE,2025-2026,S1,T209
CS046,S10046,HLTH1,Principles of Health Science,CTE,2025-2026,S1,T210
CS047,S10047,IT1,Principles of IT,CTE,2025-2026,S1,T211
CS048,S10048,EDU1,Principles of Education,CTE,2025-2026,S1,T200
CS049,S10049,MFG1,Principles of Manufacturing,CTE,2025-2026,S1,T201
CS050,S10050,ENG1,English I,ELA,2025-2026,S1,T202
CS051,S10051,ENG2,English II,ELA,2025-2026,S1,T203
CS052,S10052,ALG1,Algebra I,Math,2025-2026,S1,T204
CS053,S10053,GEOM,Geometry,Math,2025-2026,S1,T205
CS054,S10054,BIO,Biology,Science,2025-2026,S1,T206
CS055,S10055,BUS1,Principles of Business,CTE,2025-2026,S1,T207
CS056,S10056,HLTH1,Principles of Health Science,CTE,2025-2026,S1,T208
CS057,S10057,IT1,Principles of IT,CTE,2025-2026,S1,T209
CS058,S10058,EDU1,Principles of Education,CTE,2025-2026,S1,T210
CS059,S10059,MFG1,Principles of Manufacturing,CTE,2025-2026,S1,T211
CS060,S10060,ENG1,English I,ELA,2025-2026,S1,T200
CS061,S10061,ENG2,English II,ELA,2025-2026,S1,T201
CS062,S10062,ALG1,Algebra I,Math,2025-2026,S1,T202
CS063,S10063,GEOM,Geometry,Math,2025-2026,S1,T203
CS064,S10064,BIO,Biology,Science,2025-2026,S1,T204
CS065,S10065,BUS1,Principles of Business,CTE,2025-2026,S1,T205
CS066,S10066,HLTH1,Principles of Health Science,CTE,2025-2026,S1,T206
CS067,S10067,IT1,Principles of IT,CTE,2025-2026,S1,T207
CS068,S10068,EDU1,Principles of Education,CTE,2025-2026,S1,T208
CS069,S10069,MFG1,Principles of Manufacturing,CTE,2025-2026,S1,T209
CS070,S10070,ENG1,English I,ELA,2025-2026,S1,T210
CS071,S10071,ENG2,English II,ELA,2025-2026,S1,T211
CS072,S10072,ALG1,Algebra I,Math,2025-2026,S1,T200
CS073,S10073,GEOM,Geometry,Math,2025-2026,S1,T201
CS074,S10074,BIO,Biology,Science,2025-2026,S1,T202
CS075,S10075,BUS1,Principles of Business,CTE,2025-2026,S1,T203
CS076,S10076,HLTH1,Principles of Health Science,CTE,2025-2026,S1,T204
CS077,S10077,IT1,Principles of IT,CTE,2025-2026,S1,T205
CS078,S10078,EDU1,Principles of Education,CTE,2025-2026,S1,T206
CS079,S10079,MFG1,Principles of Manufacturing,CTE,2025-2026,S1,T207
CS080,S10080,ENG1,English I,ELA,2025-2026,S1,T208
CS081,S10081,ENG2,English II,ELA,2025-2026,S1,T209
CS082,S10082,ALG1,Algebra I,Math,2025-2026,S1,T210
CS083,S10083,GEOM,Geometry,Math,2025-2026,S1,T211
CS084,S10084,BIO,Biology,Science,2025-2026,S1,T200
CS085,S10085,BUS1,Principles of Business,CTE,2025-2026,S1,T201
CS086,S10086,HLTH1,Principles of Health Science,CTE,2025-2026,S1,T202
CS087,S10087,IT1,Principles of IT,CTE,2025-2026,S1,T203
CS088,S10088,EDU1,Principles of Education,CTE,2025-2026,S1,T204
CS089,S10089,MFG1,Principles of Manufacturing,CTE,2025-2026,S1,T205
CS090,S10090,ENG1,English I,ELA,2025-2026,S1,T206
CS091,S10091,ENG2,English II,ELA,2025-2026,S1,T207
CS092,S10092,ALG1,Algebra I,Math,2025-2026,S1,T208
CS093,S10093,GEOM,Geometry,Math,2025-2026,S1,T209
CS094,S10094,BIO,Biology,Science,2025-2026,S1,T210
CS095,S10095,BUS1,Principles of Business,CTE,2025-2026,S1,T211
CS096,S10096,HLTH1,Principles of Health Science,CTE,2025-2026,S1,T200
CS097,S10097,IT1,Principles of IT,CTE,2025-2026,S1,T201
CS098,S10098,EDU1,Principles of Education,CTE,2025-2026,S1,T202
CS099,S10099,MFG1,Principles of Manufacturing,CTE,2025-2026,S1,T203
