DualOnRampsID,LocalStudentID,ProgramType,CourseCode,Completed,CollegeCredits,CompletionDate
DC000,S10000,OnRamps,MATH1314,No,3,2025-05-20
DC001,S10001,Dual Credit,ENGL1301,Yes,3,2025-05-20
DC002,S10002,OnRamps,MATH1314,Yes,3,2025-05-20
DC003,S10003,Dual Credit,ENGL1301,No,3,2025-05-20
DC004,S10004,OnRamps,MATH1314,Yes,3,2025-05-20
DC005,S10005,Dual Credit,ENGL1301,Yes,3,2025-05-20
DC006,S10006,OnRamps,MATH1314,No,3,2025-05-20
DC007,S10007,Dual Credit,ENGL1301,Yes,3,2025-05-20
DC008,S10008,OnRamps,MATH1314,Yes,3,2025-05-20
DC009,S10009,Dual Credit,ENGL1301,No,3,2025-05-20
DC010,S10010,OnRamps,MATH1314,Yes,3,2025-05-20
DC011,S10011,Dual Credit,ENGL1301,Yes,3,2025-05-20
DC012,S10012,OnRamps,MATH1314,No,3,2025-05-20
DC013,S10013,Dual Credit,ENGL1301,Yes,3,2025-05-20
DC014,S10014,OnRamps,MATH1314,Yes,3,2025-05-20
DC015,S10015,Dual Credit,ENGL1301,No,3,2025-05-20
DC016,S10016,OnRamps,MATH1314,Yes,3,2025-05-20
DC017,S10017,Dual Credit,ENGL1301,Yes,3,2025-05-20
DC018,S10018,OnRamps,MATH1314,No,3,2025-05-20
DC019,S10019,Dual Credit,ENGL1301,Yes,3,2025-05-20
DC020,S10020,OnRamps,MATH1314,Yes,3,2025-05-20
DC021,S10021,Dual Credit,ENGL1301,No,3,2025-05-20
DC022,S10022,OnRamps,MATH1314,Yes,3,2025-05-20
DC023,S10023,Dual Credit,ENGL1301,Yes,3,2025-05-20
DC024,S10024,OnRamps,MATH1314,No,3,2025-05-20
DC025,S10025,Dual Credit,ENGL1301,Yes,3,2025-05-20
DC026,S10026,OnRamps,MATH1314,Yes,3,2025-05-20
DC027,S10027,Dual Credit,ENGL1301,No,3,2025-05-20
DC028,S10028,OnRamps,MATH1314,Yes,3,2025-05-20
DC029,S10029,Dual Credit,ENGL1301,Yes,3,2025-05-20
DC030,S10030,OnRamps,MATH1314,No,3,2025-05-20
DC031,S10031,Dual Credit,ENGL1301,Yes,3,2025-05-20
DC032,S10032,OnRamps,MATH1314,Yes,3,2025-05-20
DC033,S10033,Dual Credit,ENGL1301,No,3,2025-05-20
DC034,S10034,OnRamps,MATH1314,Yes,3,2025-05-20
DC035,S10035,Dual Credit,ENGL1301,Yes,3,2025-05-20
DC036,S10036,OnRamps,MATH1314,No,3,2025-05-20
DC037,S10037,Dual Credit,ENGL1301,Yes,3,2025-05-20
DC038,S10038,OnRamps,MATH1314,Yes,3,2025-05-20
DC039,S10039,Dual Credit,ENGL1301,No,3,2025-05-20
DC040,S10040,OnRamps,MATH1314,Yes,3,2025-05-20
DC041,S10041,Dual Credit,ENGL1301,Yes,3,2025-05-20
DC042,S10042,OnRamps,MATH1314,No,3,2025-05-20
DC043,S10043,Dual Credit,ENGL1301,Yes,3,2025-05-20
DC044,S10044,OnRamps,MATH1314,Yes,3,2025-05-20
