TranscriptCourseID,LocalStudentID,CourseCode,CourseName,SubjectArea,SchoolYear,Term,CreditsEarned,FinalGrade,Passed
TR0000,S10000,ENG1,English I,ELA,2023,S1,0.5,A,Yes
TR0001,S10000,ENG2,English II,ELA,2024,S2,0.5,B,Yes
TR0002,S10000,ALG1,Algebra I,Math,2025,S1,0.5,B,Yes
TR0003,S10000,GEOM,Geometry,Math,2026,S2,0.5,B,Yes
TR0010,S10001,ENG2,English II,ELA,2023,S1,0.5,B,Yes
TR0011,S10001,ALG1,Algebra I,Math,2024,S2,0.5,B,Yes
TR0012,S10001,GEOM,Geometry,Math,2025,S1,0.5,B,Yes
TR0013,S10001,BIO,Biology,Science,2026,S2,0.5,A,Yes
TR0020,S10002,ALG1,Algebra I,Math,2023,S1,0.5,B,Yes
TR0021,S10002,GEOM,Geometry,Math,2024,S2,0.5,B,Yes
TR0022,S10002,BIO,Biology,Science,2025,S1,0.5,A,Yes
TR0023,S10002,BUS1,Principles of Business,CTE,2026,S2,0.5,B,Yes
TR0030,S10003,GEOM,Geometry,Math,2023,S1,0.5,B,Yes
TR0031,S10003,BIO,Biology,Science,2024,S2,0.5,A,Yes
TR0032,S10003,BUS1,Principles of Business,CTE,2025,S1,0.5,B,Yes
TR0033,S10003,HLTH1,Principles of Health Science,CTE,2026,S2,0.5,B,Yes
TR0040,S10004,BIO,Biology,Science,2023,S1,0.5,A,Yes
TR0041,S10004,BUS1,Principles of Business,CTE,2024,S2,0.5,B,Yes
TR0042,S10004,HLTH1,Principles of Health Science,CTE,2025,S1,0.5,B,Yes
TR0043,S10004,IT1,Principles of IT,CTE,2026,S2,0.5,B,Yes
TR0050,S10005,BUS1,Principles of Business,CTE,2023,S1,0.5,B,Yes
TR0051,S10005,HLTH1,Principles of Health Science,CTE,2024,S2,0.5,B,Yes
TR0052,S10005,IT1,Principles of IT,CTE,2025,S1,0.5,B,Yes
TR0053,S10005,EDU1,Principles of Education,CTE,2026,S2,0.5,A,Yes
TR0060,S10006,HLTH1,Principles of Health Science,CTE,2023,S1,0.5,B,Yes
TR0061,S10006,IT1,Principles of IT,CTE,2024,S2,0.5,B,Yes
TR0062,S10006,EDU1,Principles of Education,CTE,2025,S1,0.5,A,Yes
TR0063,S10006,MFG1,Principles of Manufacturing,CTE,2026,S2,0.5,B,Yes
TR0070,S10007,IT1,Principles of IT,CTE,2023,S1,0.5,B,Yes
TR0071,S10007,EDU1,Principles of Education,CTE,2024,S2,0.5,A,Yes
TR0072,S10007,MFG1,Principles of Manufacturing,CTE,2025,S1,0.5,B,Yes
TR0073,S10007,ENG1,English I,ELA,2026,S2,0.5,B,Yes
TR0080,S10008,EDU1,Principles of Education,CTE,2023,S1,0.5,A,Yes
TR0081,S10008,MFG1,Principles of Manufacturing,CTE,2024,S2,0.5,B,Yes
TR0082,S10008,ENG1,English I,ELA,2025,S1,0.5,B,Yes
TR0083,S10008,ENG2,English II,ELA,2026,S2,0.5,B,Yes
TR0090,S10009,MFG1,Principles of Manufacturing,CTE,2023,S1,0.5,B,Yes
TR0091,S10009,ENG1,English I,ELA,2024,S2,0.5,B,Yes
TR0092,S10009,ENG2,English II,ELA,2025,S1,0.5,B,Yes
TR0093,S10009,ALG1,Algebra I,Math,2026,S2,0.5,A,Yes
TR0100,S10010,ENG1,English I,ELA,2023,S1,0.5,B,Yes
TR0101,S10010,ENG2,English II,ELA,2024,S2,0.5,B,Yes
TR0102,S10010,ALG1,Algebra I,Math,2025,S1,0.5,A,Yes
TR0103,S10010,GEOM,Geometry,Math,2026,S2,0.5,B,Yes
TR0110,S10011,ENG2,English II,ELA,2023,S1,0.5,B,Yes
TR0111,S10011,ALG1,Algebra I,Math,2024,S2,0.5,A,Yes
TR0112,S10011,GEOM,Geometry,Math,2025,S1,0.5,B,Yes
