AssessmentAttemptID,LocalStudentID,AssessmentType,Subject,AssessmentDate,ScaleScore,MetCriterion,AccommodationUsed,Administration
A0000,S10000,SAT,ELA,2025-02-01,420,No,No,Spring 2025
A0001,S10000,ACT,Math,2025-03-01,2,No,No,Spring 2025
A0002,S10000,TSIA2,ELA,2025-04-01,482,Yes,No,Spring 2025
A0010,S10001,ACT,Math,2025-02-02,2,No,No,Spring 2025
A0011,S10001,TSIA2,ELA,2025-03-02,468,No,No,Spring 2025
A0012,S10001,STAAR EOC,Math,2025-04-02,4,No,No,Spring 2025
A0020,S10002,TSIA2,ELA,2025-02-03,454,No,No,Spring 2025
A0021,S10002,STAAR EOC,Math,2025-03-03,4,No,No,Spring 2025
A0022,S10002,AP,ELA,2025-04-03,5,Yes,No,Spring 2025
A0030,S10003,STAAR EOC,Math,2025-02-04,4,No,No,Spring 2025
A0031,S10003,AP,ELA,2025-03-04,5,Yes,No,Spring 2025
A0032,S10003,IB,Math,2025-04-04,1,No,No,Spring 2025
A0040,S10004,AP,ELA,2025-02-05,5,Yes,No,Spring 2025
A0041,S10004,IB,Math,2025-03-05,1,No,No,Spring 2025
A0042,S10004,SAT,ELA,2025-04-05,550,Yes,No,Spring 2025
A0050,S10005,IB,Math,2025-02-06,1,No,No,Spring 2025
A0051,S10005,SAT,ELA,2025-03-06,536,Yes,No,Spring 2025
A0052,S10005,ACT,Math,2025-04-06,3,No,No,Spring 2025
A0060,S10006,SAT,ELA,2025-02-07,522,Yes,No,Spring 2025
A0061,S10006,ACT,Math,2025-03-07,3,No,No,Spring 2025
