AttendanceID,LocalStudentID,SchoolYear,DaysEnrolled,DaysAbsent,AttendanceRate,AttendanceConcern
AT000,S10000,2025-2026,180,0,1.0,OK
AT001,S10001,2025-2026,179,1,0.994,OK
AT002,S10002,2025-2026,178,2,0.989,OK
AT003,S10003,2025-2026,177,3,0.983,OK
AT004,S10004,2025-2026,176,4,0.978,OK
AT005,S10005,2025-2026,175,5,0.972,OK
AT006,S10006,2025-2026,174,6,0.967,OK
AT007,S10007,2025-2026,173,7,0.961,OK
AT008,S10008,2025-2026,172,8,0.956,OK
AT009,S10009,2025-2026,171,9,0.95,OK
AT010,S10010,2025-2026,170,10,0.944,OK
AT011,S10011,2025-2026,169,11,0.939,OK
AT012,S10012,2025-2026,168,12,0.933,OK
AT013,S10013,2025-2026,167,13,0.928,OK
AT014,S10014,2025-2026,166,14,0.922,OK
