ScheduleID,LocalStudentID,CourseCode,CourseName,SubjectArea,SchoolYear,Term,TeacherID
CS000,S10000,ENG1,English I,ELA,2025-2026,S1,T200
CS001,S10001,ENG2,English II,ELA,2025-2026,S1,T201
CS002,S10002,ALG1,Algebra I,Math,2025-2026,S1,T202
CS003,S10003,GEOM,Geometry,Math,2025-2026,S1,T203
CS004,S10004,BIO,Biology,Science,2025-2026,S1,T204
CS005,S10005,BUS1,Principles of Business,CTE,2025-2026,S1,T205
CS006,S10006,HLTH1,Principles of Health Science,CTE,2025-2026,S1,T206
CS007,S10007,IT1,Principles of IT,CTE,2025-2026,S1,T207
CS008,S10008,EDU1,Principles of Education,CTE,2025-2026,S1,T208
CS009,S10009,MFG1,Principles of Manufacturing,CTE,2025-2026,S1,T209
CS010,S10010,ENG1,English I,ELA,2025-2026,S1,T210
CS011,S10011,ENG2,English II,ELA,2025-2026,S1,T211
CS012,S10012,ALG1,Algebra I,Math,2025-2026,S1,T200
CS013,S10013,GEOM,Geometry,Math,2025-2026,S1,T201
CS014,S10014,BIO,Biology,Science,2025-2026,S1,T202
