DualOnRampsID,LocalStudentID,ProgramType,CourseCode,Completed,CollegeCredits,CompletionDate
DC000,S10000,OnRamps,MATH1314,No,3,2025-05-20
DC001,S10001,Dual Credit,ENGL1301,Yes,3,2025-05-20
DC002,S10002,OnRamps,MATH1314,Yes,3,2025-05-20
DC003,S10003,Dual Credit,ENGL1301,No,3,2025-05-20
DC004,S10004,OnRamps,MATH1314,Yes,3,2025-05-20
DC005,S10005,Dual Credit,ENGL1301,Yes,3,2025-05-20
DC006,S10006,OnRamps,MATH1314,No,3,2025-05-20
DC007,S10007,Dual Credit,ENGL1301,Yes,3,2025-05-20
DC008,S10008,OnRamps,MATH1314,Yes,3,2025-05-20
DC009,S10009,Dual Credit,ENGL1301,No,3,2025-05-20
DC010,S10010,OnRamps,MATH1314,Yes,3,2025-05-20
DC011,S10011,Dual Credit,ENGL1301,Yes,3,2025-05-20
DC012,S10012,OnRamps,MATH1314,No,3,2025-05-20
DC013,S10013,Dual Credit,ENGL1301,Yes,3,2025-05-20
DC014,S10014,OnRamps,MATH1314,Yes,3,2025-05-20
